id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96762;29391;2020-06-14T16:58:04;2020-06-15T05:52:25
2;haptic European Unit of Account 9(E.U.A.-9);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;94646;91521;2020-06-15T12:48:46;2020-06-14T17:06:15
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52434;48877;2020-06-15T12:42:12;2020-06-15T14:23:14
4;deposit Borders Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10417;17002;2020-06-15T10:50:10;2020-06-15T00:19:02
5;neural compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2629;57552;2020-06-15T00:28:38;2020-06-14T19:41:25
6;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56390;95468;2020-06-14T22:31:13;2020-06-15T00:29:37
7;seize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84740;96062;2020-06-15T12:18:56;2020-06-14T17:15:47
8;clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51077;92865;2020-06-15T13:42:32;2020-06-14T17:09:05
9;Djibouti Franc Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;45824;48239;2020-06-15T05:42:52;2020-06-14T20:28:25
10;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16357;73368;2020-06-15T07:18:00;2020-06-15T14:38:19
